# SDSS-like Void Catalog (synthetic based on published statistics)
# Reference: Sutter et al. 2012, Mao et al. 2017
# RA DEC z R_eff[Mpc/h] delta_c
110.6178 59.6551 0.1645 22.40 -0.638
250.1890 -3.3180 0.1699 15.10 -0.687
176.2142 6.8901 0.1133 15.17 -0.522
186.7735 50.1975 0.0820 28.32 -0.741
206.5207 -5.8965 0.2164 35.96 -0.622
257.4850 29.4028 0.0815 17.45 -0.704
103.2497 25.3686 0.1557 16.87 -0.695
181.0634 16.7521 0.1118 25.68 -0.793
216.9127 21.5658 0.1883 10.15 -0.718
222.8602 32.3952 0.1767 22.36 -0.712
217.7305 2.9094 0.2330 26.36 -0.617
122.8540 35.7597 0.1092 28.10 -0.524
150.8973 54.4346 0.1284 7.59 -0.768
160.9816 50.8129 0.0717 13.67 -0.883
236.7543 2.3120 0.1145 12.89 -0.701
147.3892 1.9400 0.1802 21.02 -0.682
135.8198 11.4539 0.2106 25.43 -0.833
262.7662 18.8860 0.0762 42.27 -0.596
101.5068 22.6764 0.2196 15.62 -0.506
269.6295 44.3758 0.2585 15.59 -0.522
215.0596 -5.4656 0.1831 35.54 -0.821
240.8398 -7.2262 0.3001 23.20 -0.550
150.0853 21.3528 0.0881 37.70 -0.618
102.4336 45.7731 0.0504 23.11 -0.718
225.4378 5.4748 0.2697 11.21 -0.684
241.8046 41.3204 0.2023 10.27 -0.560
225.8809 10.7863 0.1456 9.21 -0.708
124.2845 60.8869 0.1724 27.85 -0.751
228.0827 61.6552 0.0600 36.24 -0.703
230.7169 13.7830 0.3457 50.42 -0.668
211.9519 8.3995 0.1603 30.49 -0.824
230.2397 22.9043 0.1588 35.77 -0.540
243.8066 9.2425 0.2081 14.97 -0.630
204.3127 43.7907 0.1885 11.22 -0.647
115.0628 56.0852 0.1679 30.59 -0.860
182.8967 43.8474 0.0868 24.64 -0.658
113.2004 55.9480 0.1877 21.10 -0.852
169.2823 21.7594 0.3006 24.27 -0.869
169.2081 2.5054 0.2576 23.51 -0.689
111.2217 49.0361 0.2775 38.00 -0.739
159.2995 18.8380 0.1091 38.21 -0.664
118.8697 43.7017 0.0708 26.25 -0.864
237.4000 11.6515 0.1399 30.53 -0.728
261.1070 -3.5016 0.1545 25.86 -0.830
112.2938 69.4065 0.2375 15.88 -0.505
262.3696 2.4961 0.0146 29.20 -0.676
188.8380 69.0737 0.2724 9.96 -0.625
150.9262 68.1824 0.1374 33.88 -0.770
113.0666 53.5054 0.1158 11.01 -0.862
185.1061 42.7538 0.0690 23.07 -0.510
235.0676 36.2246 0.0176 13.11 -0.785
220.2047 59.2881 0.2159 26.38 -0.730
108.5384 13.1552 0.1559 19.66 -0.640
112.3933 27.4145 0.0468 9.01 -0.890
168.4885 39.5512 0.0464 24.68 -0.576
150.1994 22.8952 0.1231 14.98 -0.685
139.5053 24.1989 0.2835 31.07 -0.789
147.7708 16.4228 0.1292 20.01 -0.875
236.5921 35.1385 0.0297 24.37 -0.835
257.9688 58.0460 0.1303 12.39 -0.542
168.8675 6.1223 0.1282 14.90 -0.626
254.0389 64.7546 0.0658 15.90 -0.800
154.6543 45.1270 0.1457 30.69 -0.874
180.9943 55.8619 0.1315 46.27 -0.624
138.4249 34.4953 0.2057 13.37 -0.671
208.8809 52.3613 0.2979 34.27 -0.738
266.4268 -8.7040 0.2401 6.76 -0.755
202.5938 55.4704 0.1285 11.01 -0.813
160.8284 -6.7889 0.0615 12.38 -0.632
210.1290 61.1931 0.3559 10.17 -0.512
120.8965 69.3570 0.1547 9.06 -0.830
251.0720 13.5254 0.1511 24.59 -0.661
185.5243 6.8255 0.1481 17.97 -0.730
176.3895 51.2291 0.1658 24.18 -0.721
199.5970 10.2421 0.1385 28.25 -0.798
206.2133 59.2450 0.1041 22.84 -0.570
112.2019 -1.7726 0.1063 27.79 -0.706
216.0449 0.0764 0.1474 19.32 -0.683
141.1284 68.3321 0.1065 11.05 -0.778
221.3719 43.9071 0.0930 33.94 -0.827
239.8309 57.7510 0.1585 14.90 -0.866
236.6729 15.9464 0.1296 12.53 -0.614
193.9252 44.1187 0.2703 18.30 -0.822
188.4289 37.5393 0.0621 12.67 -0.624
124.2889 38.2520 0.2373 16.23 -0.744
231.8088 44.6026 0.2497 23.75 -0.734
146.1396 36.0287 0.0159 23.81 -0.712
184.4382 24.3250 0.1226 12.77 -0.753
148.3266 12.0738 0.1203 15.67 -0.860
122.7508 51.4865 0.0374 34.22 -0.776
207.0248 8.1018 0.0878 25.63 -0.635
109.2364 45.3883 0.0612 56.44 -0.634
227.2697 8.6666 0.2902 36.08 -0.786
153.9898 40.0264 0.2249 35.44 -0.716
100.0229 49.7663 0.2517 9.99 -0.823
186.8920 7.4971 0.2077 29.30 -0.816
107.9648 -5.2045 0.0597 19.48 -0.891
146.9488 0.4779 0.1080 15.18 -0.541
220.1860 38.4798 0.1891 21.75 -0.816
110.6572 57.9557 0.0522 32.08 -0.809
242.6875 -6.4003 0.2070 25.69 -0.788
100.6494 48.7321 0.1308 12.89 -0.849
141.9601 17.3055 0.1200 28.99 -0.644
225.9537 28.2823 0.2069 14.54 -0.870
153.7659 64.3088 0.1855 22.29 -0.846
117.3217 16.5577 0.1211 17.19 -0.642
161.2398 27.2270 0.2427 17.93 -0.764
145.9669 -8.9054 0.0635 29.34 -0.617
243.2610 -3.4721 0.1993 11.89 -0.677
153.2691 10.6873 0.1974 52.90 -0.798
234.1185 -7.7718 0.1252 8.05 -0.640
251.6183 40.5100 0.1761 14.83 -0.853
173.7490 24.1119 0.0499 24.07 -0.685
254.6903 33.8516 0.2239 26.79 -0.725
164.1441 3.9718 0.1352 19.02 -0.793
263.8933 13.6746 0.1082 19.43 -0.658
115.1792 43.1060 0.2339 24.56 -0.551
216.7933 67.2242 0.0937 17.82 -0.500
183.9484 -5.9667 0.0373 40.14 -0.657
165.9003 61.2307 0.0255 30.43 -0.738
207.5610 36.1505 0.1985 30.94 -0.810
219.6557 35.1136 0.0476 12.34 -0.797
100.7418 30.0223 0.2904 19.22 -0.708
128.3820 -4.4485 0.0166 17.21 -0.753
221.2178 -2.8099 0.2857 12.10 -0.534
213.2855 38.0730 0.1669 23.95 -0.753
264.2281 17.2767 0.1423 15.29 -0.751
229.3764 63.3814 0.1064 27.76 -0.747
261.6314 22.5272 0.1819 11.71 -0.565
219.4319 1.4625 0.1470 47.24 -0.640
150.6689 47.1775 0.2383 12.78 -0.654
117.9120 13.4683 0.1591 22.32 -0.766
232.9101 32.0376 0.1620 29.72 -0.573
209.5054 45.8266 0.1209 15.04 -0.885
108.1916 62.0211 0.1454 30.63 -0.552
161.2086 53.3753 0.1746 10.82 -0.695
262.6560 44.1089 0.0132 41.34 -0.741
185.0682 44.3707 0.0421 20.14 -0.701
173.5640 65.6740 0.2095 14.84 -0.633
177.8089 13.6659 0.1637 17.22 -0.895
135.5101 -9.9110 0.1353 29.97 -0.551
162.6802 11.7564 0.1515 14.93 -0.721
162.8683 7.4313 0.1778 13.75 -0.763
108.9004 42.9468 0.1068 17.90 -0.845
230.4865 40.6969 0.0877 11.10 -0.724
170.8058 37.4769 0.1657 49.70 -0.701
239.7706 -8.7005 0.0717 15.07 -0.739
244.5592 48.3022 0.1827 30.31 -0.629
136.0390 15.8824 0.0138 22.21 -0.732
211.7501 43.2045 0.2323 12.22 -0.515
180.2879 34.5263 0.1878 19.94 -0.660
249.6266 17.4185 0.1705 29.60 -0.577
136.6759 0.7661 0.2286 18.20 -0.856
215.2282 -2.4465 0.2832 36.32 -0.741
203.3179 56.5215 0.2311 33.33 -0.765
150.2013 63.4718 0.0476 31.66 -0.672
123.2222 41.9830 0.1000 15.89 -0.556
210.7788 -1.7253 0.1521 11.66 -0.869
225.5616 22.1622 0.1914 14.72 -0.871
153.6566 48.3151 0.0919 22.06 -0.560
209.6215 52.3857 0.1649 26.28 -0.815
167.1723 -0.5425 0.0896 6.75 -0.632
221.2452 -9.9975 0.1011 19.92 -0.683
133.8666 46.9710 0.0375 21.65 -0.567
251.3366 18.5277 0.0761 17.41 -0.850
148.8596 10.3585 0.0419 38.14 -0.848
162.5236 -8.9682 0.0719 24.70 -0.677
109.8756 33.2240 0.2343 38.51 -0.521
118.9571 58.0921 0.0740 17.95 -0.734
187.6965 66.6105 0.3606 31.96 -0.769
145.4908 35.2596 0.1895 45.30 -0.657
242.0316 31.1569 0.1648 38.54 -0.528
102.4979 -3.1955 0.0813 11.58 -0.565
164.4460 33.9098 0.2060 17.62 -0.502
157.3487 20.3983 0.1039 16.83 -0.891
103.2857 38.5708 0.1598 25.54 -0.855
121.1426 21.0981 0.3548 28.19 -0.656
170.3193 9.2239 0.1423 13.15 -0.572
183.7870 -2.4028 0.2419 20.69 -0.786
168.7293 15.1935 0.0937 7.28 -0.804
190.2594 -2.2684 0.1472 41.13 -0.585
201.1724 4.1518 0.2917 15.48 -0.877
101.6870 68.9869 0.0998 20.57 -0.752
178.8962 25.5283 0.2950 17.13 -0.698
263.7949 32.5497 0.2066 35.47 -0.676
188.2355 59.8895 0.1050 5.00 -0.609
215.1822 69.6455 0.2006 19.83 -0.758
153.0169 36.6172 0.2278 18.97 -0.655
231.5785 54.9979 0.1997 15.94 -0.666
231.3967 16.1553 0.0244 47.41 -0.681
188.6203 14.4595 0.0918 12.83 -0.644
265.9223 22.2163 0.1302 29.42 -0.796
121.3435 43.8006 0.1440 23.90 -0.866
102.8811 44.5753 0.1997 37.58 -0.852
230.9269 15.2192 0.1642 14.33 -0.810
237.2164 0.6568 0.0432 13.86 -0.700
120.4352 40.5917 0.1804 34.60 -0.564
145.1491 0.2661 0.1988 24.74 -0.619
102.9839 36.2794 0.1948 9.24 -0.584
149.8625 45.4738 0.2365 15.27 -0.760
231.4341 46.0489 0.2167 24.26 -0.738
188.0533 50.2778 0.1867 30.41 -0.743
159.1763 59.8288 0.1444 14.24 -0.823
163.1957 29.9967 0.0171 5.00 -0.876
100.2301 48.4199 0.1844 25.98 -0.664
150.9661 39.5338 0.1666 10.87 -0.504
209.8980 4.9312 0.1717 7.29 -0.833
265.6131 -7.9448 0.0479 5.00 -0.881
244.0003 12.7633 0.0635 30.05 -0.588
104.0111 25.4427 0.2343 21.33 -0.799
252.7553 39.3685 0.1468 17.87 -0.568
233.1437 57.9967 0.2045 40.05 -0.618
232.6639 5.6997 0.1523 27.51 -0.522
177.8593 0.0440 0.1524 44.88 -0.736
167.6609 67.0784 0.2251 9.97 -0.635
151.4957 -1.3564 0.1087 19.66 -0.714
111.1681 28.2793 0.1577 8.91 -0.648
138.8000 36.8451 0.1130 17.83 -0.720
141.9226 33.3100 0.1152 17.66 -0.825
182.2931 -3.1174 0.1253 27.36 -0.697
227.0655 -5.4378 0.1678 20.46 -0.689
180.5477 -1.5613 0.1117 27.31 -0.576
109.8336 36.8470 0.2505 28.43 -0.606
262.8243 33.5476 0.0784 58.74 -0.634
260.2631 8.6993 0.1351 17.08 -0.855
233.4822 41.0219 0.1148 12.49 -0.612
268.5257 55.6054 0.2658 22.62 -0.700
192.5620 -6.6737 0.1657 13.39 -0.542
263.6706 29.8504 0.2325 41.96 -0.532
112.8529 45.1448 0.0312 17.36 -0.878
162.1657 10.1850 0.1714 15.07 -0.572
138.3148 14.6217 0.2212 15.80 -0.885
133.2916 39.0910 0.1566 28.64 -0.753
123.9365 61.8348 0.2352 18.48 -0.683
205.8103 54.7940 0.1086 14.51 -0.841
232.8247 36.6504 0.2627 45.99 -0.601
198.3107 48.4177 0.3339 13.04 -0.897
124.9837 19.1858 0.1210 20.36 -0.833
237.8910 41.2772 0.1144 27.71 -0.668
208.1123 27.2945 0.2663 8.85 -0.614
165.9882 5.1949 0.2764 25.43 -0.533
214.6022 46.1391 0.1082 11.80 -0.618
144.1838 34.5172 0.1164 30.18 -0.631
158.6827 18.6897 0.1275 12.36 -0.742
255.9726 62.9071 0.0424 28.28 -0.899
149.3858 -8.3253 0.0765 34.77 -0.852
179.8980 15.2619 0.0697 30.77 -0.686
251.3240 -5.4495 0.0886 22.68 -0.630
220.3126 51.3222 0.1472 17.82 -0.733
110.5745 46.1686 0.1687 14.99 -0.608
125.0415 16.5082 0.2740 41.73 -0.691
101.3331 44.0530 0.0701 14.10 -0.870
207.2567 21.6750 0.2287 11.91 -0.823
176.1045 50.5003 0.1329 27.89 -0.564
122.8267 26.3347 0.1460 13.43 -0.610
262.8488 22.9824 0.2040 12.44 -0.542
190.0422 64.7784 0.0602 9.72 -0.853
141.1219 10.0703 0.1806 15.71 -0.504
185.1026 -0.3642 0.1633 19.19 -0.816
215.5355 36.7634 0.1894 22.58 -0.895
112.9607 67.5457 0.1731 32.18 -0.501
146.6996 20.2271 0.3464 26.03 -0.788
237.1841 -5.0371 0.0990 18.18 -0.633
178.1430 17.1444 0.1075 18.11 -0.829
192.9181 30.4745 0.1001 25.81 -0.668
173.5787 2.9538 0.1056 37.79 -0.538
107.4630 42.6482 0.0990 21.30 -0.772
128.1775 69.8200 0.2451 15.82 -0.632
175.7421 26.1392 0.2636 12.17 -0.825
135.5615 18.3783 0.1043 9.71 -0.650
108.4964 22.0563 0.0834 27.91 -0.765
243.4204 -0.7883 0.1877 26.70 -0.816
266.8027 60.6619 0.1058 26.69 -0.775
234.8343 23.1861 0.2006 18.75 -0.828
245.1434 20.9820 0.1662 40.41 -0.539
141.1361 42.7752 0.0287 15.70 -0.741
263.3066 25.3627 0.2738 32.25 -0.802
133.4774 41.8587 0.2937 19.62 -0.721
261.7431 -5.0843 0.1010 14.75 -0.772
269.1193 55.0979 0.1190 26.90 -0.602
220.9929 65.2403 0.1729 24.55 -0.512
266.7944 41.9012 0.1768 23.91 -0.725
196.8218 66.3653 0.2027 20.83 -0.556
144.1221 2.1146 0.3108 19.62 -0.674
174.2893 28.1933 0.1358 66.02 -0.837
200.9054 38.1445 0.0861 36.16 -0.624
112.4239 36.5389 0.0397 28.71 -0.695
205.7984 22.1169 0.0915 21.15 -0.640
266.8002 17.0468 0.1473 33.09 -0.544
132.3183 0.1459 0.2936 25.91 -0.724
234.7412 21.3394 0.1086 20.26 -0.540
254.3428 3.0129 0.1679 17.18 -0.600
260.4293 48.7493 0.1487 19.21 -0.705
263.2231 6.7065 0.2451 5.00 -0.659
188.6481 -5.3148 0.3522 22.22 -0.770
266.1423 34.1893 0.1075 15.67 -0.507
228.7427 37.6184 0.1108 44.35 -0.633
127.4841 59.7530 0.2335 20.19 -0.882
181.0730 36.1585 0.2046 11.04 -0.769
222.1163 17.6385 0.2977 19.51 -0.651
142.0479 54.2410 0.1967 11.85 -0.877
208.9046 33.2223 0.1213 25.34 -0.890
213.3221 -3.6576 0.1973 23.13 -0.720
127.6590 35.2680 0.2387 32.29 -0.767
196.0645 62.6415 0.2156 13.47 -0.725
231.1766 21.7050 0.1906 20.34 -0.795
184.8123 13.7061 0.2353 10.11 -0.834
102.0575 1.4776 0.2435 28.40 -0.624
101.5365 2.1156 0.2606 25.92 -0.694
160.6950 24.6217 0.2019 25.63 -0.820
257.4530 37.6544 0.1366 20.02 -0.772
138.8751 -3.5508 0.1617 24.61 -0.663
207.8418 65.1655 0.2465 44.61 -0.871
137.7529 50.4107 0.0846 17.34 -0.841
154.6839 36.9299 0.1795 21.44 -0.871
244.1672 56.2751 0.1185 11.62 -0.575
223.9064 -3.5851 0.1523 12.96 -0.599
116.2179 28.1471 0.2523 21.00 -0.599
172.8793 40.4075 0.1653 34.73 -0.613
104.9589 56.2922 0.1537 17.59 -0.632
181.7513 52.6776 0.0412 17.77 -0.709
212.6138 12.1655 0.2097 16.32 -0.643
120.1454 65.2704 0.2016 15.31 -0.885
149.1104 -0.0523 0.3231 23.18 -0.651
167.6322 60.0107 0.1254 9.46 -0.589
256.3203 67.6752 0.1675 37.95 -0.700
268.8534 4.1723 0.1700 14.34 -0.757
107.6349 47.7653 0.2762 28.69 -0.789
229.3713 -6.7772 0.1424 10.60 -0.643
163.1931 22.4338 0.1723 27.94 -0.623
166.7179 31.3027 0.1986 27.99 -0.552
228.2250 36.4516 0.1649 24.24 -0.763
256.1325 64.8750 0.1143 12.16 -0.592
261.6579 43.7801 0.1655 22.66 -0.675
198.1108 28.5022 0.2359 11.07 -0.547
160.7106 54.7740 0.0679 17.63 -0.689
233.8833 66.0426 0.1606 33.46 -0.693
142.6702 -8.2347 0.0940 29.79 -0.669
195.8926 68.6017 0.2456 20.15 -0.600
160.9583 -3.1094 0.0281 12.28 -0.514
211.6273 55.1509 0.1053 27.62 -0.871
140.8678 12.4268 0.1802 20.19 -0.879
132.5708 0.5744 0.2752 6.27 -0.525
256.1006 25.1885 0.1447 29.58 -0.688
117.3066 41.5165 0.1056 19.76 -0.654
186.0128 20.4761 0.3005 36.49 -0.707
137.5450 -5.6348 0.0342 11.57 -0.863
106.6181 37.9569 0.0259 5.00 -0.593
106.1232 62.1923 0.1852 22.99 -0.601
129.7877 20.6572 0.1098 23.14 -0.775
247.3510 7.3066 0.0683 8.59 -0.778
148.0214 25.4062 0.2067 12.26 -0.565
261.5781 -6.1310 0.1695 79.31 -0.871
198.8758 55.6390 0.1049 17.17 -0.548
174.2244 56.1073 0.0476 28.82 -0.797
198.6151 37.0400 0.2198 14.45 -0.663
187.8387 18.2482 0.2020 7.03 -0.526
228.9920 53.9827 0.1421 18.37 -0.629
148.0243 34.3750 0.2977 17.51 -0.734
160.0186 56.0746 0.0644 16.38 -0.624
251.9960 40.5167 0.0280 18.89 -0.762
260.8976 52.7524 0.0946 22.83 -0.789
251.7349 37.8850 0.1464 18.55 -0.501
171.3062 23.1313 0.1695 10.63 -0.600
232.6621 66.6357 0.1307 25.50 -0.642
180.9771 33.2891 0.1782 7.55 -0.758
184.5818 38.4072 0.0499 7.17 -0.880
134.7956 7.6390 0.2655 28.94 -0.888
200.4922 40.0521 0.1434 25.77 -0.678
131.6431 35.7286 0.2394 19.43 -0.595
156.3660 4.7871 0.1774 9.95 -0.685
245.3551 -5.2330 0.1865 14.04 -0.564
135.2029 38.3487 0.1956 17.54 -0.887
112.0969 51.0954 0.1858 9.01 -0.753
111.7313 31.8721 0.2014 13.82 -0.805
259.9334 8.1418 0.2563 27.71 -0.721
186.1765 43.3218 0.1657 40.83 -0.871
169.6001 -3.5915 0.2067 16.22 -0.518
237.8494 25.3467 0.1428 29.19 -0.811
242.0904 3.0693 0.2652 7.68 -0.531
156.4725 4.7567 0.0959 27.81 -0.730
217.9151 6.1835 0.2941 13.38 -0.506
231.0909 20.9366 0.1468 23.32 -0.678
211.2906 -5.9080 0.0355 17.67 -0.528
125.7712 21.8235 0.1602 38.70 -0.898
248.9001 30.9366 0.0955 12.92 -0.601
191.6461 28.6635 0.2173 27.37 -0.539
148.0203 20.6227 0.0978 17.39 -0.844
172.2888 57.1317 0.1143 18.48 -0.862
106.3871 1.6261 0.1138 18.24 -0.730
121.7374 30.4557 0.0439 13.10 -0.527
230.1429 -5.0367 0.0233 19.86 -0.683
100.0020 -4.3075 0.2108 19.38 -0.689
170.8162 35.9093 0.2129 22.56 -0.844
188.8267 35.2815 0.1840 20.86 -0.900
109.2879 60.2427 0.0726 29.81 -0.576
265.4233 34.6299 0.1462 31.74 -0.865
138.4413 66.7833 0.1497 11.83 -0.646
151.7138 -6.1044 0.0573 30.88 -0.534
151.6702 -2.1594 0.2703 11.05 -0.817
139.1708 -6.4747 0.2202 26.83 -0.634
100.2505 4.8221 0.1323 27.26 -0.869
223.9886 33.3016 0.1522 7.69 -0.658
264.3637 41.6458 0.1667 20.95 -0.834
138.1299 -6.3532 0.0133 15.82 -0.606
212.7180 65.6777 0.1302 13.69 -0.780
226.1224 57.3732 0.0954 39.30 -0.715
244.2323 13.7290 0.0699 14.42 -0.660
171.8470 -3.8250 0.1275 13.36 -0.831
151.4983 3.5910 0.2938 20.77 -0.603
155.3002 0.1556 0.2013 28.18 -0.779
221.1456 -0.1373 0.1043 18.63 -0.635
238.8525 31.4849 0.1958 35.83 -0.837
130.8744 9.6678 0.2619 26.08 -0.625
163.0600 18.6512 0.2240 6.73 -0.849
253.3298 69.1604 0.1548 15.35 -0.730
237.1379 44.7451 0.0982 15.10 -0.801
267.4259 65.9185 0.2059 25.42 -0.601
228.2222 1.4045 0.1815 5.38 -0.795
166.8432 20.5712 0.2216 71.54 -0.547
200.4084 34.3785 0.2008 26.08 -0.543
212.3724 -3.8594 0.2340 21.55 -0.821
113.3375 -9.6650 0.1072 36.11 -0.654
192.5645 43.6347 0.2554 64.56 -0.865
220.5845 41.3456 0.1658 30.91 -0.743
128.4446 22.8631 0.3160 32.14 -0.615
232.7074 29.1715 0.0949 21.35 -0.636
199.2414 23.2354 0.2889 18.63 -0.650
261.8777 -8.0796 0.1658 15.77 -0.787
107.2118 16.8297 0.0979 13.23 -0.749
145.1054 4.1666 0.1113 14.19 -0.859
202.2642 -2.1261 0.1244 10.18 -0.612
150.4152 66.5376 0.1839 19.26 -0.698
221.4521 37.9488 0.1918 8.61 -0.616
229.0309 48.2925 0.1041 22.00 -0.800
117.4277 15.2291 0.1481 19.64 -0.770
187.3553 21.4518 0.3214 21.52 -0.766
186.5114 8.9539 0.2882 15.40 -0.890
162.7777 -2.2427 0.1849 93.15 -0.764
258.5972 4.3225 0.1530 39.48 -0.579
240.6761 53.8011 0.1596 10.73 -0.541
218.5256 44.2037 0.1991 22.47 -0.693
221.4355 33.7543 0.0682 14.76 -0.718
178.4917 28.0072 0.1294 12.04 -0.888
256.5691 63.7947 0.0165 10.23 -0.548
218.0812 -4.1812 0.1819 24.82 -0.895
223.9268 12.4481 0.2018 14.23 -0.522
246.4875 17.9950 0.1113 32.45 -0.704
146.5922 52.5941 0.2759 32.87 -0.763
237.2021 69.4012 0.0519 39.75 -0.530
133.1909 9.2536 0.0329 13.06 -0.890
158.7081 59.9446 0.1680 25.37 -0.667
157.0538 56.4498 0.2338 27.44 -0.680
266.3493 7.9726 0.2847 15.78 -0.812
245.6113 21.9466 0.1133 13.60 -0.728
219.1989 22.7738 0.2363 44.72 -0.639
223.5996 68.2577 0.1469 22.41 -0.609
195.5524 4.4714 0.1362 27.49 -0.900
261.0054 53.9326 0.2207 13.26 -0.525
184.3640 16.7354 0.2022 10.87 -0.834
164.6880 48.4696 0.0239 15.04 -0.807
127.7160 23.6009 0.2681 18.80 -0.795
233.6550 36.2688 0.2604 11.75 -0.885
224.8555 56.6089 0.1000 19.90 -0.851
165.3404 54.3332 0.1817 8.60 -0.505
104.2829 59.3139 0.1895 11.42 -0.774
242.6295 -5.2306 0.1709 27.97 -0.854
101.9411 45.3640 0.1060 27.05 -0.857
219.6290 1.1990 0.0963 16.44 -0.612
264.9437 23.2655 0.1480 12.02 -0.558
174.4024 33.8871 0.2438 11.97 -0.797
139.9455 22.2192 0.1935 16.59 -0.892
219.8281 31.5689 0.1204 27.60 -0.811
238.9118 69.7221 0.2117 31.81 -0.877
192.8932 0.8174 0.0779 15.60 -0.859
264.3960 44.0365 0.2419 11.23 -0.727
108.7837 21.6801 0.0108 22.87 -0.808
185.8153 0.6408 0.1210 13.25 -0.694
222.1372 2.6989 0.0604 15.43 -0.799
246.6489 65.9418 0.0464 38.80 -0.524
130.4735 60.3681 0.2429 30.24 -0.538
236.0006 62.5634 0.1126 21.64 -0.673
193.9602 69.3226 0.1777 10.59 -0.758
167.4141 6.6652 0.1462 22.23 -0.748
122.3916 18.4351 0.1882 34.02 -0.735
247.1003 43.5375 0.1561 16.58 -0.609
126.7364 28.7042 0.0474 39.30 -0.719
152.6639 23.4712 0.2297 38.17 -0.557
149.3077 18.6249 0.1105 45.95 -0.522
248.1404 37.5025 0.0255 23.30 -0.766
214.3595 36.0475 0.1158 26.83 -0.676
235.4358 2.9166 0.2701 40.56 -0.862
142.5795 27.7392 0.2180 25.01 -0.820
206.2286 34.2777 0.1221 15.57 -0.735
197.1968 35.6230 0.1221 15.98 -0.818
241.5812 6.8086 0.1243 22.53 -0.549
254.0348 49.3817 0.3161 10.49 -0.837
102.0667 -7.9841 0.1806 18.62 -0.718
214.5834 18.3865 0.1844 34.61 -0.658
108.8121 52.4170 0.2324 6.69 -0.623
193.3060 35.1114 0.1691 43.08 -0.747
148.8976 10.8930 0.1293 35.06 -0.552
152.1520 45.5962 0.1343 15.89 -0.673
160.0029 35.3913 0.1443 26.24 -0.724
205.6197 53.6995 0.1470 20.03 -0.873
156.7885 48.8020 0.2082 36.99 -0.714
224.5588 38.8086 0.1542 32.69 -0.572
168.7697 29.0542 0.2086 9.93 -0.654
111.6200 0.6546 0.1435 26.83 -0.567
233.2392 10.9066 0.1563 18.05 -0.702
148.5789 23.5280 0.2233 20.85 -0.853
173.5704 37.9439 0.1777 13.90 -0.895
216.5255 31.0966 0.2298 47.93 -0.779
156.5175 13.0548 0.0817 33.64 -0.621
109.6196 -9.4829 0.3171 13.82 -0.584
163.5666 29.6991 0.1388 10.26 -0.782
260.5563 12.8501 0.2387 16.49 -0.702
209.0948 48.7687 0.0668 24.85 -0.732
214.1515 -8.0843 0.1990 22.55 -0.736
207.4880 36.7862 0.0657 37.42 -0.807
133.8287 65.3179 0.1001 29.69 -0.845
171.1168 3.9527 0.3031 32.48 -0.821
227.6598 27.7320 0.1347 23.55 -0.878
117.2334 -2.6862 0.1674 9.98 -0.821
147.2350 40.0546 0.2196 18.14 -0.896
146.9742 34.0425 0.1897 33.98 -0.649
173.4432 22.5892 0.1620 19.49 -0.773
266.6627 31.7102 0.1792 25.72 -0.511
111.4754 61.7260 0.3423 17.05 -0.823
188.1792 5.7035 0.1454 11.95 -0.762
130.4920 -8.1948 0.1661 18.80 -0.757
265.0150 58.9332 0.2341 23.34 -0.897
119.2616 36.1694 0.2384 14.41 -0.564
168.6122 61.2527 0.2450 17.78 -0.887
225.4404 37.7556 0.2011 12.50 -0.524
219.7743 54.8129 0.0586 35.00 -0.543
171.8639 24.3739 0.2807 17.26 -0.686
158.9091 49.9888 0.0583 41.35 -0.683
167.5941 63.0433 0.1742 42.95 -0.638
144.9270 35.7698 0.0897 19.21 -0.745
134.9066 4.4628 0.1449 12.08 -0.641
182.1167 11.5038 0.1763 7.05 -0.882
145.6507 5.8916 0.1757 9.58 -0.878
148.8685 9.7486 0.1838 10.06 -0.717
211.6485 14.5132 0.2791 39.84 -0.680
264.6513 34.4107 0.1863 21.19 -0.545
202.6183 37.0393 0.1305 24.30 -0.858
113.0865 24.1200 0.2271 6.59 -0.571
112.8492 39.2337 0.2452 10.99 -0.816
261.7419 -3.4740 0.0518 31.16 -0.742
150.5394 -2.9769 0.1978 23.08 -0.773
115.6514 3.7464 0.2061 18.58 -0.740
201.8376 31.4462 0.1262 26.53 -0.840
206.0203 7.1196 0.2601 45.31 -0.699
210.2458 12.6628 0.1380 17.91 -0.579
145.4583 22.0250 0.1600 20.71 -0.723
102.5688 54.9493 0.1362 22.02 -0.704
264.0526 -8.8910 0.1512 66.14 -0.560
142.6518 41.9503 0.0623 7.00 -0.618
214.9245 43.5101 0.0348 28.14 -0.704
220.1271 53.8925 0.2776 18.88 -0.797
203.7013 64.6202 0.0822 26.55 -0.546
153.1943 -8.3890 0.0707 14.40 -0.669
146.0864 2.3027 0.0223 19.52 -0.812
201.6036 60.8937 0.0989 28.54 -0.792
247.2363 26.6815 0.0442 94.84 -0.579
260.9447 35.1673 0.2814 29.96 -0.882
118.0040 43.0422 0.2308 13.09 -0.503
126.3209 44.3253 0.0949 16.18 -0.848
260.6052 64.5392 0.3302 15.94 -0.582
225.2110 69.7560 0.2285 8.15 -0.742
250.1090 47.6126 0.1240 16.96 -0.703
134.4475 12.9777 0.0500 28.85 -0.548
199.8896 60.3802 0.3333 10.58 -0.735
219.1937 -6.0623 0.0388 33.78 -0.685
215.6190 8.4865 0.0184 25.52 -0.880
169.3858 61.7909 0.2318 13.85 -0.899
