# Cluster Catalog (synthetic based on Abell/redMaPPer statistics)
# RA DEC z R200[Mpc] log_M200
71.7590 -70.2979 0.1145 1.81 14.00
149.4700 5.1735 0.0155 1.35 14.08
307.8986 67.0047 0.0852 1.28 14.67
189.3654 57.4662 0.5103 1.91 14.03
246.4051 -4.3865 0.0212 1.63 14.33
165.8183 33.9056 0.3549 1.17 14.71
316.7573 4.9917 0.0621 1.96 15.02
207.8246 -0.9993 0.0746 2.14 14.00
68.7566 -27.3693 0.0665 1.08 15.18
279.9765 -6.1630 0.3093 1.23 14.63
69.2252 87.7557 0.0482 3.13 15.49
303.4424 20.4093 0.0914 1.14 14.39
323.2207 27.6247 0.1888 1.50 14.12
234.3947 -65.4683 0.0918 0.97 14.92
274.1809 12.0720 0.1438 1.50 14.63
121.7287 -0.0439 0.2851 1.32 14.48
52.9289 81.1655 0.0534 1.36 14.88
128.8135 88.8355 0.3982 1.41 15.39
40.6472 -61.1164 0.0687 1.85 15.49
189.5792 -28.7004 0.1726 0.98 14.68
113.4373 -28.3126 0.2169 0.96 14.57
120.1381 -44.5817 0.1910 1.48 14.49
352.0765 44.3258 0.0240 0.86 15.12
51.7135 16.5198 0.0746 1.40 15.24
195.6029 61.0386 0.3829 0.99 14.74
223.6903 -37.7628 0.0526 1.87 14.76
293.2347 -68.0147 0.2496 0.97 15.46
287.9505 -8.5496 0.3512 2.11 14.24
281.9941 4.9317 0.0965 1.43 14.61
232.8080 75.0083 0.2286 2.00 14.16
268.4016 78.9552 0.0284 2.55 15.13
330.7354 69.0079 0.0383 2.67 15.46
123.3377 53.7990 0.3396 1.68 14.30
86.1059 -13.4034 0.1613 2.74 14.07
74.0825 25.8469 0.2087 1.60 14.16
211.8046 59.6990 0.3054 1.34 15.18
99.2488 48.1382 0.0851 1.48 14.79
348.4393 -41.0049 0.0865 1.99 14.62
173.6605 -36.2140 0.1579 1.20 15.39
331.1305 63.6173 0.2007 1.10 14.70
273.8277 -29.6300 0.1438 1.05 14.69
357.5598 -77.2270 0.0349 1.82 14.65
267.7111 43.7152 0.0696 1.43 14.39
161.4659 68.0552 0.3487 1.80 14.90
190.5957 34.5671 0.0321 0.95 14.65
32.5890 -25.1229 0.2079 1.36 15.17
262.5904 51.9656 0.2914 1.55 14.57
161.3345 82.5799 0.2189 1.09 14.64
175.2728 -45.9111 0.0298 1.72 14.94
24.1550 79.6845 0.0572 1.16 14.86
286.8253 -17.2439 0.4351 1.90 14.10
67.0446 21.5208 0.0578 1.99 15.27
101.9079 21.9533 0.3622 1.72 14.83
225.0461 -3.7436 0.2178 1.70 14.79
266.8968 9.4714 0.4462 1.01 14.75
33.7056 -44.8212 0.0780 1.51 14.37
90.6007 84.1341 0.1107 2.69 14.15
316.2920 68.3666 0.0241 0.69 15.02
331.8347 -82.1315 0.1296 1.88 14.95
183.8747 -82.9784 0.0333 1.42 14.51
358.9156 -68.5576 0.0829 1.58 14.89
120.3739 62.1177 0.0246 2.00 14.82
142.2006 -86.0906 0.1157 2.01 14.73
196.2212 -32.4020 0.0642 1.81 15.18
15.7274 14.3525 0.0646 2.03 15.05
138.8007 74.4843 0.0557 2.09 14.92
245.6120 -18.2329 0.0511 1.74 14.18
12.0075 -44.9991 0.0963 1.69 14.95
333.2553 46.6948 0.0226 1.16 14.15
228.4181 -35.3508 0.1274 2.05 15.23
126.5264 -78.2829 0.1608 1.68 14.34
38.0493 -55.6635 0.1407 2.01 14.31
353.5703 20.6737 0.0673 1.46 14.31
292.4710 -26.0634 0.0827 2.13 14.58
341.1494 22.1918 0.4213 0.95 15.39
216.4680 49.9907 0.1607 1.54 14.26
171.6968 -61.1954 0.0745 2.48 15.42
22.7637 -57.5305 0.0706 1.18 15.40
270.6484 6.2815 0.0220 0.98 14.60
18.3531 81.0142 0.2951 2.31 14.98
259.6780 58.8035 0.3494 1.31 15.31
4.3583 25.6194 0.1181 1.93 15.27
179.3909 11.3025 0.2001 2.40 15.49
52.7736 -1.5165 0.2420 2.26 15.29
338.0284 7.1725 0.3685 1.38 15.03
285.8804 60.2725 0.1043 2.45 14.75
55.9847 73.2720 0.4170 1.43 14.40
187.5181 67.5794 0.2567 2.61 15.34
244.3656 15.0158 0.0195 3.33 14.57
288.0028 -2.5068 0.1070 0.92 14.33
219.4671 -56.1258 0.2560 2.24 14.10
42.1723 83.0513 0.0623 1.23 14.87
102.9811 -34.9782 0.0404 1.04 15.44
191.0687 -14.5639 0.1523 2.21 15.43
22.4976 31.4309 0.0116 2.03 15.35
296.8678 23.9409 0.2115 0.73 15.12
269.9375 -56.8630 0.3069 1.12 14.29
38.4195 81.7283 0.2783 1.23 15.42
149.3389 47.6145 0.1161 1.22 15.14
90.0749 -72.4538 0.3539 1.47 14.07
270.4270 -8.3006 0.4980 1.28 14.78
310.5320 -61.7729 0.1459 2.04 14.38
336.0122 -68.3891 0.1678 1.73 15.48
335.7957 -84.7504 0.3509 1.66 14.34
329.4355 18.3234 0.2240 2.21 15.49
61.8407 -10.6255 0.3183 2.35 15.26
235.4821 -16.4913 0.1371 1.12 14.60
113.8269 42.4729 0.0590 1.00 14.95
293.8905 -42.1338 0.0748 1.42 15.30
281.9846 62.9722 0.0385 2.29 15.06
175.8903 -26.5555 0.2656 0.95 15.21
227.5239 -79.9571 0.0615 1.34 14.45
113.0639 -10.3351 0.1471 1.49 14.81
223.4852 74.8087 0.1226 1.76 15.12
219.2056 1.0429 0.0815 1.84 14.07
190.0860 -15.1246 0.0514 2.27 14.39
114.6239 -86.7464 0.0831 1.00 14.40
315.2322 -35.8455 0.0981 1.71 14.13
74.9376 -53.0415 0.3053 1.91 14.84
28.4990 75.4814 0.0431 1.42 14.90
154.4372 87.8389 0.0138 1.61 14.18
91.8988 33.7740 0.0922 1.72 14.20
115.7617 -40.6608 0.2018 1.23 14.88
193.5939 -15.8063 0.1618 1.10 15.24
27.1775 86.5301 0.0112 1.72 15.22
247.2183 41.8323 0.0723 1.13 14.44
233.5748 -31.0156 0.1039 1.65 14.89
42.8595 49.4040 0.0693 1.39 14.09
70.2172 36.0075 0.0568 1.89 14.46
74.8575 59.9939 0.3683 1.49 14.15
66.5500 -70.2562 0.0478 1.15 14.54
124.3587 -27.9038 0.0367 2.43 14.27
103.2835 38.3395 0.5815 1.41 15.20
