======================================================================
TMT k(M) CALIBRATION ON WALLABY DR2
======================================================================

Data source: C:\Users\PO\PycharmProjects\Maitrise-du-temps\data\WALLABY_DR2\WALLABY_DR2_synthetic_rotation_curves.txt
Total galaxies: 541
Valid galaxies: 541

==================================================
PERFORMANCE
==================================================

Galaxies improved: 541/541 (100.0%)
Baryonic-dominated: 0/541 (0.0%)
Median improvement: 60.8%
Mean improvement: 62.3%

==================================================
k(M) CALIBRATION
==================================================

k = 1.1714 × (M/10^10)^0.110
R² = 0.2971
p-value = 3.49e-43
Galaxies: 541

Comparison:
  SPARC (172 gal): k = 4.00 × (M/10^10)^(-0.49), R² = 0.64
  WALLABY (541 gal): k = 1.17 × (M/10^10)^(0.11), R² = 0.30

==================================================
r_c(M) CALIBRATION
==================================================

r_c = 3.62 × (M/10^10)^0.19 kpc
R² = 0.1270
Galaxies: 541

Comparison:
  SPARC: r_c = 2.6 × (M/10^10)^0.56 kpc, R² = 0.768
  WALLABY: r_c = 3.62 × (M/10^10)^0.19 kpc, R² = 0.127

==================================================
DETAILED RESULTS
==================================================

Galaxy                          M_bary    k_opt      r_c   Improv
WALLABY_J000881               6.74e+08    1.107     0.57    71.1%
WALLABY_J000807               6.74e+08    1.303     0.57    70.6%
WALLABY_J000973               6.70e+08    0.905     0.57    65.2%
WALLABY_J001273               6.69e+08    1.118     0.57    71.4%
WALLABY_J000063               6.60e+08    0.952     0.57    73.9%
WALLABY_J001376               6.52e+08    0.804     0.56    61.5%
WALLABY_J000848               6.48e+08    0.562     0.56    71.4%
WALLABY_J000355               6.45e+08    1.341     0.56    75.7%
WALLABY_J000524               6.44e+08    0.891     0.56    62.6%
WALLABY_J000596               6.35e+08    0.970     0.56    67.9%
WALLABY_J000598               6.26e+08    0.859     0.55    69.3%
WALLABY_J000873               6.12e+08    1.063     0.54    59.8%
WALLABY_J000331               6.06e+08    0.816     0.54    55.8%
WALLABY_J000852               6.05e+08    1.481     0.54    68.8%
WALLABY_J000459               6.03e+08    0.986     0.54    76.1%
WALLABY_J000379               5.91e+08    1.456     0.53    73.4%
WALLABY_J000468               5.90e+08    0.467     0.53    58.6%
WALLABY_J001073               5.84e+08    0.988     0.53    77.6%
WALLABY_J000035               5.50e+08    0.764     0.51    78.3%
WALLABY_J000998               5.42e+08    0.896     0.51    75.8%
WALLABY_J001179               5.22e+08    0.570     0.50    84.7%
WALLABY_J001552               5.18e+08    0.665     0.50    68.8%
WALLABY_J001247               5.15e+08    1.116     0.49    71.0%
WALLABY_J001356               5.07e+08    1.145     0.49    77.6%
WALLABY_J000507               5.07e+08    0.692     0.49    38.8%
WALLABY_J001667               4.97e+08    1.233     0.48    65.8%
WALLABY_J000277               4.96e+08    0.583     0.48    59.5%
WALLABY_J000638               4.67e+08    0.995     0.47    73.5%
WALLABY_J000056               4.57e+08    0.509     0.46    62.4%
WALLABY_J000300               4.57e+08    1.224     0.46    74.6%
WALLABY_J000765               4.52e+08    0.718     0.46    69.5%
WALLABY_J001268               4.30e+08    0.817     0.45    65.6%
WALLABY_J000018               4.30e+08    0.735     0.45    68.1%
WALLABY_J001367               4.25e+08    0.912     0.44    73.3%
WALLABY_J001512               4.24e+08    0.789     0.44    66.9%
WALLABY_J001576               4.16e+08    0.826     0.44    72.3%
WALLABY_J001693               4.09e+08    0.777     0.43    78.7%
WALLABY_J000171               4.07e+08    0.694     0.43    70.9%
WALLABY_J001206               4.05e+08    1.199     0.43    75.6%
WALLABY_J000541               3.75e+08    0.682     0.41    81.2%
WALLABY_J001443               3.74e+08    1.350     0.41    70.6%
WALLABY_J001446               3.71e+08    1.035     0.41    68.1%
WALLABY_J001573               3.69e+08    0.851     0.41    73.0%
WALLABY_J000267               3.63e+08    0.695     0.41    73.6%
WALLABY_J000985               3.63e+08    0.835     0.41    87.0%
WALLABY_J000872               3.60e+08    1.112     0.40    81.1%
WALLABY_J000906               3.59e+08    0.648     0.40    73.4%
WALLABY_J000472               3.56e+08    1.171     0.40    81.3%
WALLABY_J000415               3.55e+08    0.406     0.40    59.0%
WALLABY_J001538               3.53e+08    1.113     0.40    77.2%
WALLABY_J000449               3.40e+08    1.036     0.39    79.3%
WALLABY_J000871               3.37e+08    0.445     0.39    68.8%
WALLABY_J001397               3.30e+08    0.340     0.38    69.8%
WALLABY_J000437               3.21e+08    1.001     0.38    69.3%
WALLABY_J001636               3.11e+08    0.546     0.37    76.6%
WALLABY_J000121               3.08e+08    0.623     0.37    70.0%
WALLABY_J001345               3.08e+08    1.041     0.37    88.2%
WALLABY_J001315               3.03e+08    1.133     0.37    79.0%
WALLABY_J000452               3.02e+08    1.099     0.37    80.4%
WALLABY_J000733               3.00e+08    0.677     0.36    74.6%
WALLABY_J000199               2.97e+08    1.091     0.36    77.5%
WALLABY_J001425               2.97e+08    1.045     0.36    82.4%
WALLABY_J001065               2.96e+08    1.385     0.36    77.3%
WALLABY_J000044               2.96e+08    0.957     0.36    76.9%
WALLABY_J001790               2.88e+08    0.780     0.36    82.1%
WALLABY_J001735               2.72e+08    0.767     0.35    78.8%
WALLABY_J001288               2.70e+08    0.958     0.34    75.9%
WALLABY_J001571               2.66e+08    0.553     0.34    77.4%
WALLABY_J000526               2.65e+08    1.150     0.34    80.1%
WALLABY_J001243               2.62e+08    0.726     0.34    77.1%
WALLABY_J000347               2.57e+08    0.739     0.33    51.7%
WALLABY_J000704               2.51e+08    1.212     0.33    69.5%
WALLABY_J001369               2.42e+08    0.329     0.32    77.1%
WALLABY_J000013               2.38e+08    0.747     0.32    73.5%
WALLABY_J000447               2.35e+08    1.072     0.32    73.9%
WALLABY_J000216               2.35e+08    1.178     0.32    73.1%
WALLABY_J000635               2.35e+08    0.792     0.32    83.1%
WALLABY_J001455               2.30e+08    0.974     0.31    69.9%
WALLABY_J000925               2.28e+08    0.706     0.31    71.7%
WALLABY_J000487               2.23e+08    0.349     0.31    60.7%
WALLABY_J000283               2.10e+08    0.831     0.30    59.1%
WALLABY_J001328               2.02e+08    0.711     0.29    78.6%
WALLABY_J001350               1.95e+08    1.166     0.29    79.2%
WALLABY_J001737               1.94e+08    0.379     0.29    69.5%
WALLABY_J001518               1.88e+08    0.881     0.28    79.2%
WALLABY_J000945               1.87e+08    0.689     0.28    76.1%
WALLABY_J000412               1.85e+08    0.859     0.28    82.2%
WALLABY_J000429               1.74e+08    0.931     0.27    76.7%
WALLABY_J000578               1.71e+08    0.651     0.27    70.1%
WALLABY_J001531               1.64e+08    0.714     0.26    76.2%
WALLABY_J000525               1.60e+08    0.876     0.26    81.7%
WALLABY_J000019               1.56e+08    0.677     0.25    76.6%
WALLABY_J001286               1.53e+08    0.717     0.25    76.5%
WALLABY_J000991               1.43e+08    0.742     0.24    82.0%
WALLABY_J000921               1.37e+08    0.566     0.23    69.8%
WALLABY_J001763               1.35e+08    0.569     0.23    78.3%
WALLABY_J001348               1.31e+08    0.994     0.23    80.4%
WALLABY_J000671               1.26e+08    0.579     0.22    67.4%
WALLABY_J000482               1.26e+08    0.588     0.22    77.5%
WALLABY_J000431               1.18e+08    0.928     0.22    77.1%
WALLABY_J001662               1.18e+08    0.646     0.22    86.8%
WALLABY_J000014               1.07e+08    0.470     0.20    72.0%
WALLABY_J001406               1.04e+08    0.553     0.20    67.7%
WALLABY_J001488               9.51e+07    0.654     0.19    77.7%
WALLABY_J000946               9.51e+07    1.058     0.19    85.4%
WALLABY_J001325               9.20e+07    0.678     0.19    77.5%
WALLABY_J001097               9.15e+07    0.644     0.19    79.7%
WALLABY_J000223               8.38e+07    0.547     0.18    72.7%
WALLABY_J000568               7.10e+07    0.542     0.16    81.3%
WALLABY_J001346               6.92e+07    0.702     0.16    86.0%
WALLABY_J001753               5.70e+07    0.662     0.14    81.9%
WALLABY_J001176               4.48e+07    0.969     0.13    76.8%
WALLABY_J000074               4.34e+07    0.561     0.12    77.1%
WALLABY_J001562               4.20e+07    0.866     0.12    88.1%
